1234544440303030
1234544440303030
1592877911.846474,22.75,22.19,22.25,22.50,22.50,22.25,22.31,22.50,22.44,22.44,22.37,22.50,22.44,22.50,22.62,511,517,519,529,524,533,536,535,537,539,530,531,24.2600021362,77.27
1592878211.1859012,22.44,21.19,21.94,22.25,22.19,21.81,21.87,21.50,22.12,21.69,21.87,22.00,22.12,21.56,22.19,511,516,519,529,524,533,536,535,537,539,530,531,22.5999984741,76.27
1592878511.695044,22.06,20.37,21.50,21.81,21.81,21.44,21.37,20.62,21.69,21.00,21.31,21.50,21.75,20.62,21.75,511,516,519,530,524,534,536,535,537,539,530,531,21.9499969482,75.44
1592878811.3284187,22.06,20.81,21.50,21.75,21.81,21.56,21.50,21.06,21.69,21.25,21.44,21.69,21.75,21.00,21.81,511,516,519,529,523,533,535,535,537,539,529,531,22.7799987792,76.42
1592879111.6688504,22.19,21.37,21.69,22.00,21.94,21.69,21.75,21.69,21.87,21.75,21.75,21.94,21.87,21.69,22.06,512,517,520,530,524,534,536,536,538,539,530,531,23.4599990844,76.36
1592879411.1214163,22.06,20.81,21.62,21.87,21.87,21.50,21.56,21.25,21.75,21.37,21.56,21.69,21.75,21.19,21.81,512,517,519,530,524,534,536,536,538,540,529,531,22.4599990844,75.62
1592879711.5599048,21.62,20.12,21.19,21.44,21.50,21.06,21.06,20.37,21.37,20.69,21.00,21.12,21.31,20.25,21.37,512,517,519,529,524,533,536,535,538,539,533,531,21.5599975585,75.41
1592880011.9379754,21.75,20.75,21.31,21.56,21.56,21.31,21.25,21.00,21.44,21.12,21.25,21.44,21.44,20.94,21.62,512,517,519,530,524,534,536,535,538,540,530,531,22.7899971008,76.34
1592880311.425034,21.94,21.37,21.44,21.75,21.69,21.50,21.56,21.62,21.62,21.56,21.56,21.69,21.62,21.62,21.81,511,516,519,529,523,533,535,535,537,539,530,531,23.3400001525,76.18
1592880611.8988092,22.12,21.69,21.69,21.94,21.87,21.62,21.75,22.00,21.87,21.94,21.81,21.94,21.81,22.00,22.00,511,517,520,530,525,534,538,536,538,540,530,531,23.4699974060,77.44
1592880911.2663732,21.75,20.44,21.31,21.56,21.56,21.12,21.19,20.81,21.44,21.00,21.25,21.31,21.44,20.75,21.50,511,516,518,529,523,533,535,535,537,538,529,530,21.7799987792,76.21
1592881211.6949446,21.25,19.81,20.87,21.12,21.12,20.69,20.69,19.94,20.94,20.19,20.56,20.75,21.00,19.87,21.00,511,516,520,530,525,534,536,536,537,538,529,530,21.3999977111,75.79
1592881512.2252674,21.62,20.87,21.19,21.44,21.37,21.12,21.19,21.06,21.31,21.06,21.12,21.37,21.31,21.00,21.44,515,520,523,533,528,537,540,539,542,543,534,535,22.9799995422,76.80
1592881811.5930064,21.81,21.44,21.37,21.69,21.62,21.37,21.50,21.69,21.56,21.62,21.50,21.62,21.50,21.69,21.69,513,518,520,530,525,534,537,537,540,541,531,532,23.3899993896,78.30
1592882111.9553595,21.62,20.56,21.25,21.50,21.44,21.06,21.12,20.81,21.37,21.00,21.12,21.25,21.37,20.81,21.44,515,520,523,533,528,537,540,539,541,543,533,535,22.1599998474,82.90
1592882411.655751,21.19,19.75,20.75,21.00,21.00,20.56,20.62,19.87,20.87,20.19,20.56,20.75,20.94,19.87,20.94,513,518,521,531,526,535,538,537,539,542,532,533,21.2199974060,82.08
1592882711.0432768,21.00,19.75,20.62,20.81,20.81,20.44,20.44,19.87,20.69,20.12,20.31,20.62,20.69,19.87,20.81,512,517,520,530,525,534,537,536,538,540,531,532,21.8099975585,85.82
1592883011.4526758,21.37,20.69,20.87,21.12,21.06,20.87,20.87,20.87,21.00,20.87,20.87,21.06,21.00,20.81,21.12,512,517,520,530,525,534,537,536,539,540,531,532,22.7500000000,82.11
1592883311.7836316,21.44,20.50,21.00,21.25,21.19,20.87,20.94,20.94,21.12,21.00,21.00,21.19,21.12,20.94,21.25,513,518,521,531,526,535,538,537,539,541,532,533,22.2099990844,79.11
1592883611.1657374,21.12,19.75,20.69,20.94,20.94,20.50,20.62,20.19,20.81,20.37,20.56,20.75,20.81,20.06,21.00,514,520,522,533,527,536,539,538,541,542,534,536,21.1599998474,78.17
1592883911.4636853,20.94,19.75,20.50,20.75,20.75,20.31,20.37,19.94,20.62,20.12,20.37,20.56,20.62,19.94,20.75,513,518,520,531,527,535,537,537,539,541,532,532,21.3799972534,78.34
1592884211.8640943,21.12,20.06,20.62,20.87,20.81,20.50,20.56,20.44,20.81,20.50,20.56,20.81,20.75,20.37,20.94,513,518,520,531,526,535,538,537,540,541,532,533,21.8599967956,77.69
1592884511.2506146,20.81,19.25,20.37,20.62,20.62,20.19,20.19,19.69,20.50,19.94,20.19,20.37,20.50,19.62,20.62,513,518,520,531,526,535,537,536,539,541,531,534,20.9099998474,77.03
1592884811.6255648,20.56,18.87,20.12,20.37,20.37,20.00,19.94,19.37,20.25,19.62,19.94,20.19,20.25,19.25,20.44,513,518,520,531,525,534,537,536,539,541,531,532,20.6299972534,76.26
1592895611.4399688,22.19,21.94,21.81,22.06,21.94,21.69,21.94,22.12,22.00,22.06,21.94,22.06,21.94,22.12,22.06,513,518,520,531,525,535,537,536,539,541,531,532,23.2399978637,80.85
1592895911.8737967,22.19,21.94,21.81,22.06,22.00,21.75,21.94,22.12,22.00,22.06,21.94,22.06,21.94,22.12,22.12,513,518,520,530,525,535,537,537,539,541,531,532,23.2599983215,80.85
1592896211.3596163,22.19,22.00,21.87,22.06,22.00,21.75,21.94,22.12,22.00,22.06,21.94,22.06,22.00,22.19,22.12,514,519,522,532,527,536,540,538,540,542,533,534,23.2399978637,80.93
1592896511.6850576,22.19,22.00,21.87,22.12,22.00,21.75,22.00,22.19,22.06,22.06,22.00,22.12,22.00,22.19,22.19,514,519,522,532,527,536,539,538,540,542,532,534,23.2599983215,80.83
1592896811.3296776,22.25,22.00,21.87,22.12,22.06,21.81,22.00,22.19,22.06,22.12,22.00,22.12,22.00,22.19,22.19,513,518,520,531,525,535,538,537,539,541,531,533,23.2799987792,80.96
